iter	Passed	Remaining
0	1	167
1	3	156
2	4	147
3	5	135
4	6	132
5	8	130
6	9	131
7	11	130
8	12	128
9	14	126
10	15	124
11	16	123
12	18	121
13	19	119
14	20	117
15	22	116
16	23	114
17	24	113
18	26	111
19	27	110
20	29	109
21	30	107
22	31	105
23	33	104
24	34	103
25	35	102
26	37	100
27	38	99
28	39	97
29	41	97
30	43	96
31	44	94
32	45	93
33	47	92
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	59	78
43	60	76
44	61	75
45	63	74
46	64	72
47	65	71
48	67	69
49	68	68
50	69	67
51	71	65
52	72	64
53	74	63
54	74	61
55	76	59
56	77	58
57	78	57
58	80	55
59	81	54
60	82	52
61	84	51
62	86	50
63	87	49
64	89	47
65	90	46
66	92	45
67	93	43
68	94	42
69	96	41
70	97	39
71	98	38
72	100	37
73	101	35
74	102	34
75	104	32
76	105	31
77	107	30
78	108	28
79	109	27
80	110	26
81	112	24
82	113	23
83	114	21
84	116	20
85	117	19
86	118	17
87	120	16
88	121	15
89	122	13
90	124	12
91	125	10
92	127	9
93	129	8
94	130	6
95	132	5
96	134	4
97	136	2
98	137	1
99	139	0
