iter	Passed	Remaining
0	1	1230
1	1	943
2	2	914
3	3	870
4	4	840
5	4	823
6	5	804
7	6	795
8	7	786
9	7	782
10	8	782
11	9	779
12	10	775
13	10	771
14	11	772
15	12	767
16	13	766
17	13	761
18	14	756
19	15	752
20	16	751
21	16	746
22	17	742
23	18	738
24	18	736
25	19	733
26	20	730
27	20	728
28	21	726
29	22	720
30	23	720
31	23	721
32	24	721
33	25	719
34	26	718
35	26	716
36	27	717
37	28	712
38	28	707
39	29	708
40	30	709
41	31	707
42	31	706
43	32	704
44	33	705
45	33	704
46	34	703
47	35	702
48	36	700
49	36	698
50	37	700
51	38	700
52	39	699
53	39	699
54	40	698
55	41	697
56	42	695
57	42	696
58	43	696
59	44	696
60	45	695
61	45	694
62	46	693
63	47	691
64	48	690
65	48	688
66	49	687
67	50	686
68	50	681
69	51	680
70	51	680
71	52	679
72	53	678
73	54	678
74	54	673
75	55	672
76	56	673
77	56	672
78	57	671
79	58	670
80	59	669
81	59	668
82	60	667
83	61	666
84	61	664
85	62	663
86	63	662
87	63	661
88	64	660
89	65	658
90	65	658
91	66	658
92	67	658
93	68	658
94	69	658
95	69	658
96	70	659
97	71	659
98	72	658
99	73	657
100	73	655
101	74	654
102	74	651
103	75	649
104	76	648
105	76	645
106	77	644
107	77	643
108	78	642
109	79	640
110	79	640
111	80	640
112	81	639
113	82	637
114	82	636
115	83	635
116	84	634
117	84	633
118	85	632
119	86	631
120	86	629
121	87	627
122	87	627
123	88	626
124	89	625
125	90	625
126	90	624
127	91	624
128	92	623
129	93	626
130	94	626
131	95	624
132	95	623
133	96	622
134	96	621
135	97	619
136	98	618
137	99	618
138	99	617
139	100	617
140	101	616
141	101	616
142	102	616
143	103	614
144	104	614
145	104	613
146	105	612
147	106	611
148	106	610
149	108	613
150	108	612
151	109	612
152	110	613
153	111	612
154	112	612
155	112	610
156	113	609
157	114	608
158	115	608
159	115	608
160	116	608
161	117	607
162	118	606
163	118	606
164	119	605
165	120	604
166	120	603
167	121	603
168	122	602
169	123	601
170	123	600
171	124	599
172	125	598
173	125	597
174	126	596
175	127	595
176	127	594
177	128	593
178	129	593
179	130	593
180	130	592
181	131	591
182	132	590
183	132	589
184	133	588
185	134	587
186	135	587
187	135	586
188	136	585
189	137	584
190	137	583
191	138	583
192	139	582
193	140	581
194	140	581
195	141	580
196	142	579
197	142	579
198	143	578
199	144	577
200	145	577
201	146	577
202	146	576
203	147	575
204	148	574
205	148	574
206	149	573
207	150	572
208	151	571
209	151	570
210	152	569
211	153	568
212	153	567
213	154	566
214	154	565
215	155	564
216	156	564
217	156	562
218	157	561
219	158	561
220	159	560
221	159	560
222	160	559
223	161	558
224	162	558
225	162	557
226	163	555
227	163	554
228	164	553
229	165	552
230	165	551
231	166	550
232	167	550
233	167	549
234	168	548
235	169	547
236	169	546
237	170	545
238	170	544
239	171	543
240	172	542
241	172	541
242	173	541
243	174	540
244	175	540
245	175	539
246	176	538
247	177	537
248	178	536
249	178	536
250	179	535
251	179	534
252	180	533
253	181	532
254	181	531
255	182	530
256	183	529
257	183	528
258	184	527
259	185	526
260	185	525
261	186	524
262	186	524
263	187	523
264	188	522
265	189	521
266	189	520
267	190	519
268	191	519
269	191	518
270	192	518
271	193	518
272	194	517
273	194	516
274	195	515
275	196	514
276	196	514
277	197	513
278	198	512
279	198	511
280	199	510
281	200	509
282	200	508
283	201	508
284	202	507
285	202	506
286	203	505
287	204	505
288	204	504
289	205	503
290	206	502
291	207	501
292	207	501
293	208	500
294	209	499
295	209	498
296	210	498
297	211	497
298	211	496
299	212	495
300	212	494
301	213	493
302	214	492
303	214	491
304	215	491
305	216	490
306	216	489
307	217	488
308	218	488
309	219	487
310	219	487
311	220	486
312	221	485
313	222	485
314	222	484
315	223	483
316	224	483
317	224	482
318	225	481
319	226	480
320	226	479
321	227	478
322	228	478
323	228	477
324	229	476
325	230	475
326	230	475
327	231	474
328	232	473
329	232	472
330	233	472
331	234	471
332	235	470
333	235	470
334	236	469
335	237	468
336	237	467
337	238	467
338	239	466
339	239	465
340	240	464
341	241	463
342	241	462
343	242	461
344	242	461
345	243	460
346	244	459
347	244	458
348	245	458
349	246	457
350	246	456
351	247	455
352	248	455
353	249	454
354	249	454
355	250	453
356	251	452
357	251	451
358	252	450
359	253	450
360	253	449
361	254	448
362	255	447
363	255	446
364	256	446
365	257	445
366	257	444
367	258	443
368	258	442
369	259	441
370	260	441
371	260	440
372	261	439
373	262	439
374	263	438
375	263	437
376	264	437
377	265	436
378	265	435
379	266	434
380	267	433
381	267	433
382	268	432
383	268	431
384	269	430
385	270	429
386	270	429
387	271	428
388	272	427
389	272	426
390	273	426
391	274	425
392	274	424
393	275	423
394	276	423
395	277	422
396	277	421
397	278	421
398	279	420
399	279	419
400	280	419
401	281	418
402	281	417
403	282	416
404	283	415
405	283	415
406	284	414
407	285	413
408	285	412
409	286	412
410	286	411
411	287	410
412	288	409
413	288	408
414	289	408
415	290	407
416	290	406
417	291	405
418	292	405
419	292	404
420	293	403
421	294	402
422	294	402
423	295	401
424	296	400
425	296	400
426	297	399
427	298	398
428	298	397
429	299	397
430	300	396
431	300	395
432	301	394
433	302	394
434	302	393
435	303	392
436	304	391
437	304	391
438	305	390
439	306	390
440	307	389
441	308	389
442	308	388
443	309	387
444	310	387
445	311	386
446	312	386
447	312	385
448	313	384
449	314	383
450	314	383
451	315	382
452	316	381
453	317	381
454	317	380
455	318	379
456	318	378
457	319	378
458	320	377
459	321	376
460	321	376
461	322	375
462	323	374
463	323	374
464	324	373
465	325	372
466	326	372
